case_id,strategy,answer_version,claim_id,claim_text,supporting_chunk_ids,supporting_passages,source_locations,structural_citation_valid,semantic_support_verdict,reviewer,review_notes
p4-dev-constraint-lifecycle-001,full,1,mock-claim-intent-d0f74e537b,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-constraint-lifecycle-001,full,2,mock-claim-intent-66304d4f58,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-constraint-lifecycle-001,full,3,mock-claim-intent-304b65ef9a,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-constraint-lifecycle-001,full,4,mock-claim-intent-af93e4717c,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-constraint-lifecycle-001,selective,1,mock-claim-intent-d0f74e537b,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-constraint-lifecycle-001,selective,2,mock-claim-intent-d0f74e537b,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-constraint-lifecycle-001,selective,3,mock-claim-intent-304b65ef9a,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-constraint-lifecycle-001,selective,4,mock-claim-intent-af93e4717c,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-local-preservation-002,full,1,mock-claim-intent-d0f74e537b,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-local-preservation-002,full,1,mock-claim-intent-dc6921e583,Synthetic Venue A in Pune does not allow outside catering. The standard package remains vegetarian and non-vegetarian lunch with tea and coffee.,synthetic.catering-restrictions#chunk-0000,Synthetic Venue A in Pune does not allow outside catering. The standard package remains vegetarian and non-vegetarian lunch with tea and coffee.,synthetic://flowcontext/catering-restrictions,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-local-preservation-002,full,2,claim-cf257dc47494,Synthetic Venue A in Pune does not allow outside catering. The standard package remains vegetarian and non-vegetarian lunch with tea and coffee.,synthetic.catering-restrictions#chunk-0000,Synthetic Venue A in Pune does not allow outside catering. The standard package remains vegetarian and non-vegetarian lunch with tea and coffee.,synthetic://flowcontext/catering-restrictions,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-local-preservation-002,full,2,mock-claim-intent-0a5c8091c4,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-local-preservation-002,selective,1,mock-claim-intent-d0f74e537b,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-local-preservation-002,selective,1,mock-claim-intent-dc6921e583,Synthetic Venue A in Pune does not allow outside catering. The standard package remains vegetarian and non-vegetarian lunch with tea and coffee.,synthetic.catering-restrictions#chunk-0000,Synthetic Venue A in Pune does not allow outside catering. The standard package remains vegetarian and non-vegetarian lunch with tea and coffee.,synthetic://flowcontext/catering-restrictions,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-local-preservation-002,selective,2,mock-claim-intent-dc6921e583,Synthetic Venue A in Pune does not allow outside catering. The standard package remains vegetarian and non-vegetarian lunch with tea and coffee.,synthetic.catering-restrictions#chunk-0000,Synthetic Venue A in Pune does not allow outside catering. The standard package remains vegetarian and non-vegetarian lunch with tea and coffee.,synthetic://flowcontext/catering-restrictions,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-local-preservation-002,selective,2,mock-claim-intent-0a5c8091c4,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-entity-consequence-003,full,1,mock-claim-intent-bff6e53e8f,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-entity-consequence-003,full,1,mock-claim-intent-5d708f18f8,Venue B in Pune cancellation policy: cancel at least 7 calendar days before the event for a full refund. Venue B in Pune availability must be confirmed separately. Venue B in Pune package price is 10000 INR.,synthetic.venue-b-policy#chunk-0000,Venue B in Pune cancellation policy: cancel at least 7 calendar days before the event for a full refund. Venue B in Pune availability must be confirmed separately. Venue B in Pune package price is 10000 INR.,synthetic://flowcontext/venue-b-policy,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-entity-consequence-003,full,2,mock-claim-intent-1da1d7de13,Venue A in Pune accommodates up to 30 attendees. Venue A includes a projector and a small breakout room.,synthetic.venue-options#chunk-0000,Venue A in Pune accommodates up to 30 attendees. Venue A includes a projector and a small breakout room.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-entity-consequence-003,full,2,mock-claim-intent-609b471100,Venue A in Pune cancellation policy: cancel at least 3 calendar days before the event for a full refund. Venue A in Pune availability must be confirmed separately. Venue A in Pune package price is 8000 INR.,synthetic.venue-a-policy#chunk-0000,Venue A in Pune cancellation policy: cancel at least 3 calendar days before the event for a full refund. Venue A in Pune availability must be confirmed separately. Venue A in Pune package price is 8000 INR.,synthetic://flowcontext/venue-a-policy,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-entity-consequence-003,selective,1,mock-claim-intent-bff6e53e8f,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-entity-consequence-003,selective,1,mock-claim-intent-5d708f18f8,Venue B in Pune cancellation policy: cancel at least 7 calendar days before the event for a full refund. Venue B in Pune availability must be confirmed separately. Venue B in Pune package price is 10000 INR.,synthetic.venue-b-policy#chunk-0000,Venue B in Pune cancellation policy: cancel at least 7 calendar days before the event for a full refund. Venue B in Pune availability must be confirmed separately. Venue B in Pune package price is 10000 INR.,synthetic://flowcontext/venue-b-policy,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-entity-consequence-003,selective,2,mock-claim-intent-1da1d7de13,Venue A in Pune accommodates up to 30 attendees. Venue A includes a projector and a small breakout room.,synthetic.venue-options#chunk-0000,Venue A in Pune accommodates up to 30 attendees. Venue A includes a projector and a small breakout room.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-entity-consequence-003,selective,2,mock-claim-intent-609b471100,Venue A in Pune cancellation policy: cancel at least 3 calendar days before the event for a full refund. Venue A in Pune availability must be confirmed separately. Venue A in Pune package price is 8000 INR.,synthetic.venue-a-policy#chunk-0000,Venue A in Pune cancellation policy: cancel at least 3 calendar days before the event for a full refund. Venue A in Pune availability must be confirmed separately. Venue A in Pune package price is 8000 INR.,synthetic://flowcontext/venue-a-policy,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-ambiguous-reference-004,full,1,mock-claim-intent-3bee12d108,Venue A in Pune accommodates up to 30 attendees. Venue A includes a projector and a small breakout room.,synthetic.venue-options#chunk-0000,Venue A in Pune accommodates up to 30 attendees. Venue A includes a projector and a small breakout room.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-ambiguous-reference-004,full,1,mock-claim-intent-d0f74e537b,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic.venue-options#chunk-0001,Venue B in Pune accommodates up to 40 attendees and includes a projector. Venue B can also accommodate a 30-attendee meeting. Availability must be confirmed separately.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
p4-dev-ambiguous-reference-004,selective,1,mock-claim-intent-3bee12d108,Venue A in Pune accommodates up to 30 attendees. Venue A includes a projector and a small breakout room.,synthetic.venue-options#chunk-0000,Venue A in Pune accommodates up to 30 attendees. Venue A includes a projector and a small breakout room.,synthetic://flowcontext/venue-options,true,supported,human_reviewer,Claim semantically entailed and supported verbatim by cited corpus passage.
